Subject,Difficulty,Time_Taken_hrs,Date,Possibility
GEN,Hard,5,2026-04-08,Possible
CSC105,Easy,0.5,2026-04-09,Possible
Math,Easy,1,2026-04-09,Possible
ML,Easy,0.5,2026-04-09,Possible
ML,Hard,5,2026-04-10,Possible
ML,Medium,3,2026-04-11,Possible
Math,Easy,1,2026-04-11,Possible
CSC105,Easy,1,2026-04-11,Possible
GEN,Hard,5,2026-04-12,Not Possible
CSC105,Medium,3,2026-04-12,Not Possible
ML,Medium,3,2026-04-13,Possible
Math,Medium,3,2026-04-14,Not Possible
GEN,Medium,3,2026-04-14,Not Possible
CSC105,Easy,1,2026-04-14,Not Possible
ML,Easy,1,2026-04-15,Possible
ML,Easy,0.5,2026-04-16,Possible
Math,Medium,3,2026-04-17,Not Possible
CSC105,Medium,3,2026-04-17,Not Possible
CSC105,Easy,1,2026-04-18,Possible
GEN,Easy,0.5,2026-04-18,Possible
ML,Easy,1,2026-04-18,Possible
ML,Easy,1,2026-04-19,Possible
GEN,Easy,1,2026-04-19,Possible
Math,Easy,1,2026-04-19,Possible
CSC105,Easy,0.5,2026-04-19,Possible
GEN,Medium,3,2026-04-20,Not Possible
CSC105,Medium,3,2026-04-20,Not Possible
Math,Medium,3,2026-04-21,Possible
ML,Easy,0.5,2026-04-21,Possible
CSC105,Easy,0.5,2026-04-21,Possible
GEN,Hard,5,2026-04-22,Not Possible
ML,Easy,1,2026-04-22,Not Possible
GEN,Medium,3,2026-04-23,Not Possible
CSC105,Medium,3,2026-04-23,Not Possible
Math,Medium,3,2026-04-24,Not Possible
GEN,Medium,3,2026-04-24,Not Possible
ML,Easy,1,2026-04-24,Not Possible
CSC105,Easy,1,2026-04-24,Not Possible
CSC105,Hard,5,2026-04-25,Possible
GEN,Hard,5,2026-04-26,Not Possible
Math,Medium,3,2026-04-26,Not Possible
Math,Medium,3,2026-04-27,Possible
CSC105,Hard,5,2026-04-28,Not Possible
Math,Easy,1,2026-04-28,Not Possible
ML,Easy,0.5,2026-04-28,Not Possible
GEN,Easy,0.5,2026-04-28,Not Possible
CSC105,Medium,3,2026-04-29,Not Possible
Math,Medium,3,2026-04-29,Not Possible
GEN,Easy,1,2026-04-29,Not Possible
ML,Medium,3,2026-04-30,Not Possible
CSC105,Medium,3,2026-04-30,Not Possible
CSC105,Medium,3,2026-05-01,Not Possible
ML,Medium,3,2026-05-01,Not Possible
CSC105,Medium,3,2026-05-02,Not Possible
GEN,Medium,3,2026-05-02,Not Possible
Math,Easy,0.5,2026-05-02,Not Possible
Math,Easy,1,2026-05-03,Possible
CSC105,Easy,0.5,2026-05-03,Possible
GEN,Hard,5,2026-05-04,Not Possible
Math,Medium,3,2026-05-04,Not Possible
Math,Hard,5,2026-05-05,Possible
ML,Hard,5,2026-05-06,Not Possible
Math,Easy,0.5,2026-05-06,Not Possible
CSC105,Medium,3,2026-05-06,Not Possible
ML,Easy,0.5,2026-05-07,Possible
GEN,Hard,5,2026-05-08,Not Possible
ML,Easy,0.5,2026-05-08,Not Possible
CSC105,Hard,5,2026-05-09,Possible
GEN,Easy,0.5,2026-05-10,Possible
Math,Easy,0.5,2026-05-10,Possible
ML,Medium,3,2026-05-10,Possible
Math,Medium,3,2026-05-11,Not Possible
CSC105,Medium,3,2026-05-11,Not Possible
GEN,Easy,0.5,2026-05-11,Not Possible
Math,Medium,3,2026-05-12,Possible
GEN,Easy,1,2026-05-12,Possible
ML,Easy,1,2026-05-13,Possible
CSC105,Easy,1,2026-05-13,Possible
Math,Easy,0.5,2026-05-13,Possible
ML,Hard,5,2026-05-14,Not Possible
GEN,Easy,0.5,2026-05-14,Not Possible
CSC105,Medium,3,2026-05-14,Not Possible
ML,Hard,5,2026-05-15,Not Possible
GEN,Easy,0.5,2026-05-15,Not Possible
CSC105,Medium,3,2026-05-16,Possible
Math,Medium,3,2026-05-17,Possible
GEN,Easy,0.5,2026-05-17,Possible
CSC105,Medium,3,2026-05-18,Possible
Math,Easy,1,2026-05-19,Possible
ML,Easy,0.5,2026-05-19,Possible
CSC105,Easy,1,2026-05-19,Possible
GEN,Easy,1,2026-05-19,Possible
GEN,Hard,5,2026-05-20,Not Possible
Math,Easy,0.5,2026-05-20,Not Possible
CSC105,Easy,1,2026-05-20,Not Possible
Math,Medium,3,2026-05-21,Possible
CSC105,Easy,0.5,2026-05-21,Possible
CSC105,Hard,5,2026-05-22,Not Possible
GEN,Medium,3,2026-05-22,Not Possible
Math,Hard,5,2026-05-23,Not Possible
CSC105,Medium,3,2026-05-23,Not Possible
CSC105,Easy,0.5,2026-05-24,Possible
GEN,Easy,1,2026-05-24,Possible
Math,Medium,3,2026-05-24,Possible
GEN,Medium,3,2026-05-25,Possible
Math,Easy,1,2026-05-25,Possible
ML,Easy,0.5,2026-05-25,Possible
CSC105,Easy,1,2026-05-26,Possible
GEN,Easy,0.5,2026-05-26,Possible
ML,Easy,1,2026-05-26,Possible
CSC105,Easy,1,2026-05-27,Possible
ML,Easy,0.5,2026-05-27,Possible
Math,Hard,5,2026-05-28,Possible
Math,Easy,0.5,2026-05-29,Possible
ML,Easy,0.5,2026-05-30,Possible
Math,Easy,1,2026-05-30,Possible
GEN,Easy,0.5,2026-05-30,Possible
CSC105,Easy,1,2026-05-30,Possible
ML,Easy,0.5,2026-05-31,Possible
CSC105,Easy,1,2026-05-31,Possible
Math,Easy,1,2026-05-31,Possible
CSC105,Medium,3,2026-06-01,Possible
Math,Easy,0.5,2026-06-01,Possible
Math,Easy,0.5,2026-06-02,Possible
GEN,Easy,1,2026-06-02,Possible
ML,Easy,1,2026-06-02,Possible
CSC105,Easy,0.5,2026-06-02,Possible
GEN,Easy,1,2026-06-03,Possible
CSC105,Easy,1,2026-06-03,Possible
Math,Easy,1,2026-06-03,Possible
ML,Easy,0.5,2026-06-03,Possible
ML,Hard,5,2026-06-04,Possible
CSC105,Hard,5,2026-06-05,Possible
Math,Easy,0.5,2026-06-06,Possible
ML,Easy,1,2026-06-06,Possible
CSC105,Easy,1,2026-06-06,Possible
ML,Hard,5,2026-06-07,Not Possible
CSC105,Medium,3,2026-06-07,Not Possible
CSC105,Easy,0.5,2026-06-08,Possible
GEN,Easy,0.5,2026-06-08,Possible
ML,Easy,0.5,2026-06-09,Possible
CSC105,Medium,3,2026-06-10,Possible
GEN,Easy,0.5,2026-06-10,Possible
ML,Easy,0.5,2026-06-10,Possible
CSC105,Medium,3,2026-06-11,Possible
ML,Easy,0.5,2026-06-11,Possible
Math,Medium,3,2026-06-12,Not Possible
GEN,Medium,3,2026-06-12,Not Possible
GEN,Easy,1,2026-06-13,Possible
Math,Easy,0.5,2026-06-13,Possible
ML,Easy,0.5,2026-06-13,Possible
CSC105,Easy,1,2026-06-13,Possible
Math,Easy,0.5,2026-06-14,Possible
GEN,Easy,0.5,2026-06-14,Possible
CSC105,Medium,3,2026-06-14,Possible
CSC105,Medium,3,2026-06-15,Possible
Math,Easy,0.5,2026-06-15,Possible
CSC105,Hard,5,2026-06-16,Not Possible
Math,Easy,0.5,2026-06-16,Not Possible
ML,Easy,1,2026-06-16,Not Possible
GEN,Easy,1,2026-06-16,Not Possible
Math,Easy,1,2026-06-17,Possible
CSC105,Easy,1,2026-06-17,Possible
ML,Medium,3,2026-06-17,Possible
CSC105,Medium,3,2026-06-18,Possible
GEN,Easy,1,2026-06-18,Possible
GEN,Hard,5,2026-06-19,Not Possible
ML,Easy,1,2026-06-19,Not Possible
ML,Medium,3,2026-06-20,Not Possible
Math,Medium,3,2026-06-20,Not Possible
GEN,Easy,1,2026-06-20,Not Possible
CSC105,Easy,1,2026-06-20,Not Possible
Math,Medium,3,2026-06-21,Possible
ML,Easy,1,2026-06-21,Possible
CSC105,Easy,0.5,2026-06-21,Possible
GEN,Easy,0.5,2026-06-22,Possible
Math,Easy,1,2026-06-22,Possible
CSC105,Easy,0.5,2026-06-22,Possible
GEN,Hard,5,2026-06-23,Not Possible
CSC105,Easy,1,2026-06-23,Not Possible
Math,Medium,3,2026-06-23,Not Possible
Math,Easy,1,2026-06-24,Possible
CSC105,Easy,0.5,2026-06-24,Possible
GEN,Easy,1,2026-06-24,Possible
GEN,Easy,1,2026-06-25,Possible
Math,Easy,0.5,2026-06-25,Possible
CSC105,Medium,3,2026-06-25,Possible
GEN,Medium,3,2026-06-26,Not Possible
Math,Medium,3,2026-06-26,Not Possible
GEN,Hard,5,2026-06-27,Not Possible
CSC105,Easy,0.5,2026-06-27,Not Possible
GEN,Easy,1,2026-06-28,Possible
CSC105,Easy,0.5,2026-06-28,Possible
ML,Hard,5,2026-06-29,Possible
ML,Easy,0.5,2026-06-30,Possible
GEN,Easy,1,2026-06-30,Possible
GEN,Easy,0.5,2026-07-01,Possible
CSC105,Easy,1,2026-07-01,Possible
Math,Easy,1,2026-07-01,Possible
ML,Easy,1,2026-07-01,Possible
Math,Medium,3,2026-07-02,Not Possible
GEN,Medium,3,2026-07-02,Not Possible
ML,Easy,0.5,2026-07-02,Not Possible
GEN,Medium,3,2026-07-03,Possible
ML,Hard,5,2026-07-04,Possible
CSC105,Easy,1,2026-07-05,Possible
GEN,Easy,1,2026-07-05,Possible
ML,Easy,1,2026-07-05,Possible
Math,Easy,0.5,2026-07-05,Possible
GEN,Medium,3,2026-07-06,Possible
ML,Easy,1,2026-07-06,Possible
Math,Easy,0.5,2026-07-06,Possible
Math,Medium,3,2026-07-07,Possible
GEN,Easy,0.5,2026-07-07,Possible
ML,Medium,3,2026-07-08,Not Possible
GEN,Medium,3,2026-07-08,Not Possible
CSC105,Hard,5,2026-07-09,Not Possible
Math,Easy,1,2026-07-09,Not Possible
GEN,Easy,1,2026-07-09,Not Possible
CSC105,Medium,3,2026-07-10,Possible
Math,Easy,1,2026-07-11,Possible
GEN,Easy,1,2026-07-11,Possible
GEN,Medium,3,2026-07-12,Not Possible
CSC105,Medium,3,2026-07-12,Not Possible
ML,Easy,0.5,2026-07-12,Not Possible
Math,Easy,0.5,2026-07-12,Not Possible
Math,Medium,3,2026-07-13,Possible
CSC105,Easy,0.5,2026-07-13,Possible
ML,Easy,0.5,2026-07-13,Possible
Math,Hard,5,2026-07-14,Not Possible
ML,Easy,1,2026-07-14,Not Possible
GEN,Medium,3,2026-07-14,Not Possible
CSC105,Hard,5,2026-07-15,Not Possible
GEN,Easy,0.5,2026-07-15,Not Possible
ML,Hard,5,2026-07-16,Not Possible
CSC105,Easy,1,2026-07-16,Not Possible
Math,Medium,3,2026-07-16,Not Possible
GEN,Hard,5,2026-07-17,Possible
GEN,Medium,3,2026-07-18,Possible
CSC105,Easy,0.5,2026-07-18,Possible
GEN,Hard,5,2026-07-19,Not Possible
Math,Medium,3,2026-07-19,Not Possible
ML,Hard,5,2026-07-20,Not Possible
Math,Easy,1,2026-07-20,Not Possible
CSC105,Easy,1,2026-07-20,Not Possible
GEN,Easy,1,2026-07-20,Not Possible
Math,Hard,5,2026-07-21,Not Possible
ML,Easy,0.5,2026-07-21,Not Possible
GEN,Easy,1,2026-07-21,Not Possible
CSC105,Easy,1,2026-07-21,Not Possible
CSC105,Medium,3,2026-07-22,Not Possible
ML,Medium,3,2026-07-22,Not Possible
Math,Easy,0.5,2026-07-22,Not Possible
GEN,Easy,1,2026-07-22,Not Possible
GEN,Easy,0.5,2026-07-23,Possible
ML,Easy,1,2026-07-23,Possible
Math,Easy,0.5,2026-07-23,Possible
ML,Medium,3,2026-07-24,Not Possible
CSC105,Medium,3,2026-07-24,Not Possible
GEN,Hard,5,2026-07-25,Not Possible
CSC105,Easy,0.5,2026-07-25,Not Possible
ML,Medium,3,2026-07-25,Not Possible
Math,Hard,5,2026-07-26,Not Possible
GEN,Easy,0.5,2026-07-26,Not Possible
CSC105,Easy,1,2026-07-26,Not Possible
GEN,Easy,1,2026-07-27,Possible
ML,Easy,1,2026-07-27,Possible
CSC105,Medium,3,2026-07-27,Possible
CSC105,Easy,1,2026-07-28,Possible
Math,Easy,0.5,2026-07-28,Possible
ML,Easy,0.5,2026-07-28,Possible
GEN,Easy,0.5,2026-07-28,Possible
GEN,Medium,3,2026-07-29,Not Possible
ML,Medium,3,2026-07-29,Not Possible
ML,Medium,3,2026-07-30,Possible
GEN,Hard,5,2026-07-31,Not Possible
CSC105,Easy,1,2026-07-31,Not Possible
ML,Easy,1,2026-07-31,Not Possible
Math,Easy,1,2026-07-31,Not Possible
Math,Easy,1,2026-08-01,Possible
GEN,Hard,5,2026-08-02,Possible
Math,Medium,3,2026-08-03,Possible
GEN,Easy,0.5,2026-08-03,Possible
Math,Medium,3,2026-08-04,Possible
ML,Easy,0.5,2026-08-04,Possible
Math,Easy,0.5,2026-08-05,Possible
CSC105,Easy,0.5,2026-08-05,Possible
ML,Medium,3,2026-08-05,Possible
CSC105,Medium,3,2026-08-06,Possible
Math,Easy,0.5,2026-08-06,Possible
GEN,Medium,3,2026-08-07,Not Possible
Math,Medium,3,2026-08-07,Not Possible
ML,Medium,3,2026-08-08,Not Possible
GEN,Medium,3,2026-08-08,Not Possible
CSC105,Easy,0.5,2026-08-08,Not Possible
ML,Medium,3,2026-08-09,Possible
GEN,Easy,1,2026-08-09,Possible
CSC105,Easy,1,2026-08-09,Possible
Math,Medium,3,2026-08-10,Not Possible
GEN,Medium,3,2026-08-10,Not Possible
CSC105,Easy,1,2026-08-10,Not Possible
ML,Easy,1,2026-08-10,Not Possible
ML,Medium,3,2026-08-11,Possible
CSC105,Easy,0.5,2026-08-11,Possible
GEN,Easy,1,2026-08-12,Possible
GEN,Hard,5,2026-08-13,Possible
GEN,Easy,0.5,2026-08-14,Possible
ML,Easy,1,2026-08-14,Possible
Math,Easy,0.5,2026-08-14,Possible
CSC105,Easy,1,2026-08-14,Possible
GEN,Hard,5,2026-08-15,Not Possible
Math,Easy,0.5,2026-08-15,Not Possible
ML,Hard,5,2026-08-16,Not Possible
CSC105,Medium,3,2026-08-16,Not Possible
ML,Easy,0.5,2026-08-17,Possible
GEN,Easy,0.5,2026-08-17,Possible
Math,Easy,0.5,2026-08-18,Possible
GEN,Easy,1,2026-08-18,Possible
CSC105,Easy,1,2026-08-18,Possible
ML,Easy,1,2026-08-18,Possible
GEN,Hard,5,2026-08-19,Not Possible
CSC105,Easy,1,2026-08-19,Not Possible
ML,Medium,3,2026-08-19,Not Possible
CSC105,Medium,3,2026-08-20,Possible
Math,Easy,1,2026-08-20,Possible
CSC105,Medium,3,2026-08-21,Possible
ML,Easy,1,2026-08-21,Possible
Math,Easy,1,2026-08-21,Possible
Math,Easy,1,2026-08-22,Possible
ML,Easy,1,2026-08-22,Possible
GEN,Medium,3,2026-08-23,Possible
ML,Medium,3,2026-08-24,Not Possible
CSC105,Medium,3,2026-08-24,Not Possible
CSC105,Easy,1,2026-08-25,Possible
ML,Easy,1,2026-08-25,Possible
GEN,Medium,3,2026-08-25,Possible
GEN,Hard,5,2026-08-26,Not Possible
CSC105,Easy,0.5,2026-08-26,Not Possible
ML,Easy,0.5,2026-08-26,Not Possible
Math,Medium,3,2026-08-27,Not Possible
CSC105,Medium,3,2026-08-27,Not Possible
GEN,Hard,5,2026-08-28,Not Possible
CSC105,Easy,1,2026-08-28,Not Possible
Math,Medium,3,2026-08-28,Not Possible
ML,Hard,5,2026-08-29,Not Possible
Math,Easy,0.5,2026-08-29,Not Possible
GEN,Easy,0.5,2026-08-29,Not Possible
Math,Hard,5,2026-08-30,Not Possible
GEN,Medium,3,2026-08-30,Not Possible
ML,Easy,1,2026-08-31,Possible
Math,Medium,3,2026-09-01,Possible
ML,Medium,3,2026-09-02,Not Possible
Math,Medium,3,2026-09-02,Not Possible
CSC105,Medium,3,2026-09-03,Not Possible
GEN,Medium,3,2026-09-03,Not Possible
Math,Easy,1,2026-09-03,Not Possible
Math,Medium,3,2026-09-04,Not Possible
CSC105,Medium,3,2026-09-04,Not Possible
Math,Easy,0.5,2026-09-05,Possible
CSC105,Easy,1,2026-09-05,Possible
ML,Easy,0.5,2026-09-05,Possible
CSC105,Medium,3,2026-09-06,Not Possible
ML,Medium,3,2026-09-06,Not Possible
GEN,Hard,5,2026-09-07,Not Possible
Math,Easy,1,2026-09-07,Not Possible
GEN,Hard,5,2026-09-08,Not Possible
ML,Easy,0.5,2026-09-08,Not Possible
CSC105,Hard,5,2026-09-09,Not Possible
GEN,Medium,3,2026-09-09,Not Possible
ML,Medium,3,2026-09-10,Not Possible
CSC105,Medium,3,2026-09-10,Not Possible
Math,Easy,0.5,2026-09-10,Not Possible
GEN,Easy,1,2026-09-10,Not Possible
GEN,Medium,3,2026-09-11,Possible
Math,Easy,0.5,2026-09-11,Possible
ML,Easy,0.5,2026-09-11,Possible
Math,Medium,3,2026-09-12,Not Possible
ML,Medium,3,2026-09-12,Not Possible
CSC105,Easy,1,2026-09-12,Not Possible
GEN,Easy,0.5,2026-09-12,Not Possible
Math,Medium,3,2026-09-13,Not Possible
GEN,Medium,3,2026-09-13,Not Possible
ML,Medium,3,2026-09-14,Possible
GEN,Easy,1,2026-09-14,Possible
CSC105,Easy,1,2026-09-15,Possible
ML,Easy,1,2026-09-15,Possible
Math,Easy,0.5,2026-09-16,Possible
GEN,Easy,1,2026-09-16,Possible
CSC105,Medium,3,2026-09-16,Possible
CSC105,Medium,3,2026-09-17,Possible
ML,Medium,3,2026-09-18,Not Possible
GEN,Medium,3,2026-09-18,Not Possible
Math,Easy,1,2026-09-18,Not Possible
CSC105,Easy,1,2026-09-18,Not Possible
CSC105,Hard,5,2026-09-19,Not Possible
Math,Easy,1,2026-09-19,Not Possible
GEN,Easy,1,2026-09-19,Not Possible
CSC105,Easy,0.5,2026-09-20,Possible
Math,Easy,0.5,2026-09-20,Possible
ML,Medium,3,2026-09-20,Possible
ML,Easy,1,2026-09-21,Possible
CSC105,Easy,0.5,2026-09-21,Possible
Math,Hard,5,2026-09-22,Not Possible
GEN,Medium,3,2026-09-22,Not Possible
CSC105,Hard,5,2026-09-23,Not Possible
Math,Easy,1,2026-09-23,Not Possible
ML,Medium,3,2026-09-23,Not Possible
CSC105,Easy,1,2026-09-24,Possible
Math,Easy,0.5,2026-09-24,Possible
ML,Medium,3,2026-09-24,Possible
Math,Medium,3,2026-09-25,Not Possible
GEN,Medium,3,2026-09-25,Not Possible
GEN,Medium,3,2026-09-26,Possible
ML,Easy,0.5,2026-09-26,Possible
GEN,Medium,3,2026-09-27,Not Possible
Math,Medium,3,2026-09-27,Not Possible
CSC105,Easy,0.5,2026-09-27,Not Possible
ML,Easy,0.5,2026-09-27,Not Possible
ML,Medium,3,2026-09-28,Possible
CSC105,Easy,1,2026-09-28,Possible
Math,Easy,1,2026-09-28,Possible
GEN,Easy,0.5,2026-09-29,Possible
Math,Easy,0.5,2026-09-29,Possible
Math,Easy,0.5,2026-09-30,Possible
CSC105,Easy,0.5,2026-09-30,Possible
GEN,Easy,0.5,2026-09-30,Possible
ML,Easy,1,2026-09-30,Possible
ML,Easy,0.5,2026-10-01,Possible
Math,Easy,1,2026-10-01,Possible
Math,Medium,3,2026-10-02,Not Possible
ML,Medium,3,2026-10-02,Not Possible
GEN,Easy,1,2026-10-02,Not Possible
CSC105,Easy,0.5,2026-10-02,Not Possible
GEN,Easy,0.5,2026-10-03,Possible
ML,Easy,0.5,2026-10-03,Possible
Math,Easy,1,2026-10-04,Possible
CSC105,Easy,0.5,2026-10-04,Possible
ML,Medium,3,2026-10-04,Possible
CSC105,Easy,1,2026-10-05,Possible
GEN,Easy,1,2026-10-05,Possible
Math,Easy,1,2026-10-05,Possible
ML,Easy,1,2026-10-05,Possible
GEN,Easy,0.5,2026-10-06,Possible
ML,Easy,0.5,2026-10-06,Possible
CSC105,Easy,1,2026-10-06,Possible
Math,Easy,0.5,2026-10-06,Possible
GEN,Medium,3,2026-10-07,Possible
Math,Hard,5,2026-10-08,Possible
ML,Medium,3,2026-10-09,Possible
Math,Easy,1,2026-10-09,Possible
Math,Easy,0.5,2026-10-10,Possible
CSC105,Medium,3,2026-10-11,Not Possible
ML,Medium,3,2026-10-11,Not Possible
GEN,Easy,0.5,2026-10-11,Not Possible
Math,Easy,1,2026-10-11,Not Possible
ML,Easy,0.5,2026-10-12,Possible
CSC105,Easy,0.5,2026-10-12,Possible
GEN,Easy,1,2026-10-12,Possible
Math,Easy,0.5,2026-10-12,Possible
CSC105,Easy,1,2026-10-13,Possible
CSC105,Medium,3,2026-10-14,Possible
CSC105,Easy,0.5,2026-10-15,Possible
GEN,Medium,3,2026-10-16,Not Possible
CSC105,Medium,3,2026-10-16,Not Possible
ML,Hard,5,2026-10-17,Not Possible
CSC105,Easy,1,2026-10-17,Not Possible
GEN,Easy,1,2026-10-17,Not Possible
Math,Easy,0.5,2026-10-18,Possible
ML,Easy,1,2026-10-18,Possible
CSC105,Medium,3,2026-10-18,Possible
CSC105,Easy,1,2026-10-19,Possible
Math,Easy,0.5,2026-10-19,Possible
ML,Medium,3,2026-10-19,Possible
CSC105,Easy,0.5,2026-10-20,Possible
ML,Easy,0.5,2026-10-20,Possible
GEN,Easy,1,2026-10-20,Possible
Math,Easy,1,2026-10-20,Possible
Math,Medium,3,2026-10-21,Possible
CSC105,Easy,0.5,2026-10-21,Possible
GEN,Medium,3,2026-10-22,Not Possible
Math,Medium,3,2026-10-22,Not Possible
CSC105,Easy,1,2026-10-23,Possible
ML,Easy,0.5,2026-10-23,Possible
GEN,Easy,0.5,2026-10-23,Possible
Math,Easy,0.5,2026-10-23,Possible
GEN,Medium,3,2026-10-24,Possible
CSC105,Easy,1,2026-10-24,Possible
ML,Easy,1,2026-10-25,Possible
GEN,Easy,0.5,2026-10-25,Possible
Math,Easy,1,2026-10-25,Possible
GEN,Hard,5,2026-10-26,Not Possible
CSC105,Medium,3,2026-10-26,Not Possible
Math,Medium,3,2026-10-27,Not Possible
GEN,Medium,3,2026-10-27,Not Possible
ML,Medium,3,2026-10-28,Possible
Math,Easy,0.5,2026-10-28,Possible
CSC105,Easy,1,2026-10-28,Possible
ML,Hard,5,2026-10-29,Not Possible
GEN,Easy,1,2026-10-29,Not Possible
Math,Hard,5,2026-10-30,Not Possible
CSC105,Easy,0.5,2026-10-30,Not Possible
GEN,Medium,3,2026-10-30,Not Possible
CSC105,Easy,1,2026-10-31,Possible
ML,Easy,1,2026-10-31,Possible
Math,Medium,3,2026-10-31,Possible
